model,type,parameter,coef
GARCH_M3,GARCH,mu,0.09394689219470156
GARCH_M3,GARCH,omega,0.3817207244180084
GARCH_M3,GARCH,alpha,0.07270010655904419
GARCH_M3,GARCH,beta,0.9234184553458085
GARCH_M3,GARCH,gamma(VIX_scaled),-0.02308377952082042
GARCH_M3,GARCH,gamma(fear_greed_lag1_scaled),0.15724979199216027
GARCH_M3,GARCH,nu,2.955297632771325
GARCH_M2,GARCH,mu,0.08855141852512168
GARCH_M2,GARCH,omega,0.4431944804187374
GARCH_M2,GARCH,alpha,0.08081860908581513
GARCH_M2,GARCH,beta,0.9128720740117787
GARCH_M2,GARCH,gamma(GPR_custom_scaled),0.02627386389230023
GARCH_M2,GARCH,nu,2.998309938678274
EGARCH_E1,EGARCH,mu,0.09359548933149926
EGARCH_E1,EGARCH,omega,0.062141285339512874
EGARCH_E1,EGARCH,alpha,0.17750450155094477
EGARCH_E1,EGARCH,gamma_asym,0.004740007060632369
EGARCH_E1,EGARCH,beta,0.9780878089490518
EGARCH_E1,EGARCH,delta(GPR_custom_scaled),0.00026484196353564735
EGARCH_E1,EGARCH,nu,3.0176529769199707
EGARCH_E2,EGARCH,mu,0.09370034206583465
EGARCH_E2,EGARCH,omega,0.06473314833319228
EGARCH_E2,EGARCH,alpha,0.1773869495957042
EGARCH_E2,EGARCH,gamma_asym,0.003180446669393026
EGARCH_E2,EGARCH,beta,0.9771127527336463
EGARCH_E2,EGARCH,delta(GPR_zscore_scaled),-0.0032862677497451035
EGARCH_E2,EGARCH,nu,3.0304392718490347
EGARCH_E3,EGARCH,mu,0.09009222786471043
EGARCH_E3,EGARCH,omega,0.061576210158366264
EGARCH_E3,EGARCH,alpha,0.1764162228877993
EGARCH_E3,EGARCH,gamma_asym,-0.017124257538361973
EGARCH_E3,EGARCH,beta,0.978333325027508
EGARCH_E3,EGARCH,delta(VIX_scaled),-0.0004171772615431025
EGARCH_E3,EGARCH,delta(fear_greed_lag1_scaled),0.013444427343381516
EGARCH_E3,EGARCH,nu,3.005183041512798
EGARCH_E4,EGARCH,mu,0.08941680613121913
EGARCH_E4,EGARCH,omega,0.06252995739209455
EGARCH_E4,EGARCH,alpha,0.17579526128259884
EGARCH_E4,EGARCH,gamma_asym,-0.018348638566909787
EGARCH_E4,EGARCH,beta,0.977992191938658
EGARCH_E4,EGARCH,delta(GPR_custom_scaled),0.002999921276883762
EGARCH_E4,EGARCH,delta(VIX_scaled),-3.045129811677904e-05
EGARCH_E4,EGARCH,delta(fear_greed_lag1_scaled),0.01414913971255645
EGARCH_E4,EGARCH,nu,3.0082931730374165
EGARCH_E5,EGARCH,mu,0.08928984965478123
EGARCH_E5,EGARCH,omega,0.0596395633935805
EGARCH_E5,EGARCH,alpha,0.17364174720195796
EGARCH_E5,EGARCH,gamma_asym,-0.017581988450101064
EGARCH_E5,EGARCH,beta,0.9790161316255778
EGARCH_E5,EGARCH,delta(GPR_custom_diff_scaled),0.0284376914356718
EGARCH_E5,EGARCH,delta(VIX_scaled),-0.00034147461370466226
EGARCH_E5,EGARCH,delta(fear_greed_lag1_scaled),0.013596757410433057
EGARCH_E5,EGARCH,nu,3.001907881576917
EGARCH_E6,EGARCH,mu,0.0894785112636531
EGARCH_E6,EGARCH,omega,0.060034925789035846
EGARCH_E6,EGARCH,alpha,0.1743701358041454
EGARCH_E6,EGARCH,gamma_asym,-0.01880596677297169
EGARCH_E6,EGARCH,beta,0.977731335437441
EGARCH_E6,EGARCH,delta(GPR_custom_high),0.012819120262067015
EGARCH_E6,EGARCH,delta(VIX_scaled),0.0005273861830376799
EGARCH_E6,EGARCH,delta(fear_greed_lag1_scaled),0.014425925552365866
EGARCH_E6,EGARCH,nu,3.0118360973114524
