section,model,label,AIC,BIC,LogLik
GARCH 기본,Model3,VIX + Fear&Greed,9469.786,9508.231,-4727.893
GARCH 기본,Model5,커스텀 GPR + 시장심리,9471.506,9515.444,-4727.753
GARCH 기본,Model4,공식 GPR + 시장심리,9471.637,9515.575,-4727.819
GARCH 기본,Model2,커스텀 GPR 단독,9472.586,9505.54,-4730.293
GARCH 기본,Model1,공식 GPR 단독,9472.71,9505.664,-4730.355
이벤트 더미 강건성,Model3_eventD,VIX + Fear&Greed + 이벤트 더미,9463.151723853582,9529.058160365006,-4719.575861926791
이벤트 더미 강건성,Model5_eventD,커스텀 GPR + 시장심리 + 이벤트 더미,9464.875307315704,9536.273946869747,-4719.437653657852
이벤트 더미 강건성,Model3,VIX + Fear&Greed,9469.78576460849,9508.231185906821,-4727.892882304245
이벤트 더미 강건성,Model5,커스텀 GPR + 시장심리,9471.506463671818,9515.444088012768,-4727.753231835909
EGARCH 강건성,EGARCH_E3,[EGARCH] VIX+F&G,9450.125,9494.063,-4717.063
EGARCH 강건성,EGARCH_E6,[EGARCH] GPR더미+VIX+F&G,9450.972,9500.401,-4716.486
EGARCH 강건성,EGARCH_E4,[EGARCH] GPR_custom+VIX+F&G,9451.524,9500.953,-4716.762
EGARCH 강건성,EGARCH_E5,[EGARCH] ΔGPR+VIX+F&G,9451.997,9501.427,-4716.999
EGARCH 강건성,EGARCH_E2,[EGARCH] GPR_zscore 단독,9454.858,9493.303,-4720.429
EGARCH 강건성,EGARCH_E1,[EGARCH] GPR_custom 단독,9455.47,9493.916,-4720.735
EGARCH 강건성,GARCH_M3,[GARCH 기준] VIX+F&G,9469.786,9508.231,-4727.893
EGARCH 강건성,GARCH_M2,[GARCH 기준] GPR_custom,9472.586,9505.54,-4730.293
