model,type,var,coef,pvalue
GARCH_M3,GARCH,VIX_scaled,0.006111794431853721,0.952667395505937
GARCH_M3,GARCH,fear_greed_lag1_scaled,0.16249566935587714,0.04667069353133324
GARCH_M2,GARCH,GPR_custom_scaled,0.03185808835727733,0.7092019136137186
EGARCH_E1,EGARCH,GPR_custom_scaled,0.0010407470068367498,0.8381165577207944
EGARCH_E2,EGARCH,GPR_zscore_scaled,-0.0035636585410729186,0.4341621382812483
EGARCH_E3,EGARCH,VIX_scaled,-0.0005627167273283718,0.9160325091983982
EGARCH_E3,EGARCH,fear_greed_lag1_scaled,0.012772965317926243,0.029229235909865647
EGARCH_E4,EGARCH,GPR_custom_scaled,0.003977109501197212,0.4416340331193769
EGARCH_E4,EGARCH,VIX_scaled,-0.0001742212577753029,0.9742081895260397
EGARCH_E4,EGARCH,fear_greed_lag1_scaled,0.013731951464951927,0.02355181647686839
EGARCH_E5,EGARCH,GPR_custom_diff_scaled,-0.01526911307293347,0.7214413516990035
EGARCH_E5,EGARCH,VIX_scaled,-0.0005204183143833562,0.9230678199967444
EGARCH_E5,EGARCH,fear_greed_lag1_scaled,0.012682823417328619,0.03182661932938659
EGARCH_E6,EGARCH,GPR_custom_high,0.0133654534113852,0.28969753037732354
EGARCH_E6,EGARCH,VIX_scaled,3.9543707377066e-05,0.9941611768062877
EGARCH_E6,EGARCH,fear_greed_lag1_scaled,0.013719755660317525,0.02233297413061533
