model,model_label,param,estimate,se,p_value,converged,loglik,AIC,BIC
Model1,공식 GPR 단독,mu,0.08878943157587846,0.06344815508582972,0.1618635523623575,True,-4785.258679875951,9582.517359751902,9615.560206230268
Model1,공식 GPR 단독,omega,0.44149627256244295,0.16849975197385605,0.008862146899270229,True,-4785.258679875951,9582.517359751902,9615.560206230268
Model1,공식 GPR 단독,alpha,0.08076354145468466,0.019950534625240924,5.378492900320886e-05,True,-4785.258679875951,9582.517359751902,9615.560206230268
Model1,공식 GPR 단독,beta,0.9129491596364417,0.018083039605219422,0.0,True,-4785.258679875951,9582.517359751902,9615.560206230268
Model1,공식 GPR 단독,gamma(GPR_zscore_scaled),-0.004496860399706187,0.09019310524342232,0.960240921737965,True,-4785.258679875951,9582.517359751902,9615.560206230268
Model1,공식 GPR 단독,nu,2.999113537080998,0.25407757208090914,0.0,True,-4785.258679875951,9582.517359751902,9615.560206230268
Model2,커스텀 GPR 단독,mu,0.08855141852512168,0.06336226205705352,0.16242146004525382,True,-4785.200983174153,9582.401966348307,9615.444812826672
Model2,커스텀 GPR 단독,omega,0.4431944804187374,0.1674851876776573,0.00821118790245201,True,-4785.200983174153,9582.401966348307,9615.444812826672
Model2,커스텀 GPR 단독,alpha,0.08081860908581513,0.019956462973288718,5.3431578950213776e-05,True,-4785.200983174153,9582.401966348307,9615.444812826672
Model2,커스텀 GPR 단독,beta,0.9128720740117787,0.018134801955598048,0.0,True,-4785.200983174153,9582.401966348307,9615.444812826672
Model2,커스텀 GPR 단독,gamma(GPR_custom_scaled),0.02627386389230023,0.07749666922419002,0.7346247158167181,True,-4785.200983174153,9582.401966348307,9615.444812826672
Model2,커스텀 GPR 단독,nu,2.998309938678274,0.2529776958955209,0.0,True,-4785.200983174153,9582.401966348307,9615.444812826672
Model3,VIX + Fear&Greed,mu,0.09394689219470156,0.0632390088636134,0.13756281354301048,True,-4782.3551768692105,9578.710353738421,9617.260341296515
Model3,VIX + Fear&Greed,omega,0.3817207244180084,0.1631681590285699,0.019421111100020205,True,-4782.3551768692105,9578.710353738421,9617.260341296515
Model3,VIX + Fear&Greed,alpha,0.07270010655904419,0.018689317052549774,0.0001038917368891834,True,-4782.3551768692105,9578.710353738421,9617.260341296515
Model3,VIX + Fear&Greed,beta,0.9234184553458085,0.017447830841773128,0.0,True,-4782.3551768692105,9578.710353738421,9617.260341296515
Model3,VIX + Fear&Greed,gamma(VIX_scaled),-0.02308377952082042,0.09144954483743852,0.8007443183456793,True,-4782.3551768692105,9578.710353738421,9617.260341296515
Model3,VIX + Fear&Greed,gamma(fear_greed_lag1_scaled),0.15724979199216027,0.07554405396690218,0.03752222247912962,True,-4782.3551768692105,9578.710353738421,9617.260341296515
Model3,VIX + Fear&Greed,nu,2.955297632771325,0.24937345498840977,0.0,True,-4782.3551768692105,9578.710353738421,9617.260341296515
Model4,공식 GPR + 시장심리,mu,0.09285161758033629,0.06316630618914361,0.14174749438806766,True,-4782.19514660056,9580.39029320112,9624.447421838942
Model4,공식 GPR + 시장심리,omega,0.36584804936022003,0.16140875042426833,0.02353243500788582,True,-4782.19514660056,9580.39029320112,9624.447421838942
Model4,공식 GPR + 시장심리,alpha,0.07266224117959956,0.01874592986048877,0.0001098967978510057,True,-4782.19514660056,9580.39029320112,9624.447421838942
Model4,공식 GPR + 시장심리,beta,0.9248309614685973,0.017396212733645163,0.0,True,-4782.19514660056,9580.39029320112,9624.447421838942
Model4,공식 GPR + 시장심리,gamma(GPR_zscore_scaled),0.04404264375379154,0.08026737434683234,0.5832794600936246,True,-4782.19514660056,9580.39029320112,9624.447421838942
Model4,공식 GPR + 시장심리,gamma(VIX_scaled),-0.03038177932805819,0.08854157843153639,0.7315361331813097,True,-4782.19514660056,9580.39029320112,9624.447421838942
Model4,공식 GPR + 시장심리,gamma(fear_greed_lag1_scaled),0.16668328229113608,0.0778374088443834,0.03237241314713879,True,-4782.19514660056,9580.39029320112,9624.447421838942
Model4,공식 GPR + 시장심리,nu,2.9382361211351413,0.24900791262947797,0.0,True,-4782.19514660056,9580.39029320112,9624.447421838942
Model5,커스텀 GPR + 시장심리,mu,0.0938953323511847,0.0632112125437443,0.1376058960594515,True,-4782.208452953235,9580.41690590647,9624.474034544291
Model5,커스텀 GPR + 시장심리,omega,0.3855760807879798,0.1633676958641455,0.018371794551326426,True,-4782.208452953235,9580.41690590647,9624.474034544291
Model5,커스텀 GPR + 시장심리,alpha,0.07256541144243664,0.018756356996232876,0.00011321921029505688,True,-4782.208452953235,9580.41690590647,9624.474034544291
Model5,커스텀 GPR + 시장심리,beta,0.9233971117777577,0.01751919877632243,0.0,True,-4782.208452953235,9580.41690590647,9624.474034544291
Model5,커스텀 GPR + 시장심리,gamma(GPR_custom_scaled),0.036367646020845634,0.06862246288169781,0.5961996525862354,True,-4782.208452953235,9580.41690590647,9624.474034544291
Model5,커스텀 GPR + 시장심리,gamma(VIX_scaled),-0.02471617172079116,0.09168325839436928,0.7875123972925997,True,-4782.208452953235,9580.41690590647,9624.474034544291
Model5,커스텀 GPR + 시장심리,gamma(fear_greed_lag1_scaled),0.16153641116046455,0.0761097543786829,0.03393821151081733,True,-4782.208452953235,9580.41690590647,9624.474034544291
Model5,커스텀 GPR + 시장심리,nu,2.9531733948660404,0.24924628275489663,0.0,True,-4782.208452953235,9580.41690590647,9624.474034544291
