tau,beta,pvalue,ci_lower,ci_upper,significant
0.01,0.026822859839973564,3.8267167212779896e-12,0.01930306143758221,0.03434265824236492,1
0.025,0.021358912799913622,0.0,0.016431798039562524,0.02628602756026472,1
0.05,0.017658403049519666,0.0,0.014005773679195711,0.02131103241984362,1
0.1,0.01575393968315117,0.0,0.01250583067098863,0.01900204869531371,1
0.2,0.01339039536147818,1.5543122344752192e-15,0.010128736904625683,0.016652053818330678,1
0.25,0.01219198400188881,5.0037751719855805e-12,0.008754911266050892,0.01562905673772673,1
0.5,0.010989374089877168,2.7636022803534388e-08,0.007129663025070537,0.014849085154683798,1
0.75,0.009813978220805892,1.963308417796128e-05,0.005320217713054237,0.014307738728557548,1
0.9,0.009103887863416312,0.0007465435713036594,0.003821117509457516,0.014386658217375108,1
0.95,0.009757860716796856,0.000781287113696516,0.004074386801073193,0.01544133463252052,1
