tau,beta,pvalue,ci_lo,ci_hi,significant
0.01,0.025589842854364032,6.439293542825908e-15,0.01921123598071245,0.031968449728015616,1
0.025,0.021276250653636183,0.0,0.01685364121477503,0.025698860092497337,1
0.05,0.01640838024588906,0.0,0.013043077303246355,0.019773683188531763,1
0.1,0.015923905411423273,0.0,0.012727989179154202,0.019119821643692345,1
0.2,0.013343415505666907,1.1102230246251565e-15,0.01011331435836654,0.016573516652967274,1
0.25,0.011988702345908913,1.439293129124053e-11,0.008532098409740656,0.01544530628207717,1
0.5,0.010998359714893557,2.191603964973865e-08,0.007163605178767888,0.014833114251019226,1
0.75,0.009861528047577547,1.2542461587994325e-05,0.005448785188883951,0.014274270906271144,1
0.9,0.009616518538699048,0.00029547776633620515,0.004418899482752269,0.014814137594645827,1
0.95,0.006919184725183131,0.027575169251755405,0.0007690069358079598,0.013069362514558302,1
