event,event_label,tau,beta,pvalue,significant
hormuz_crisis,호르무즈 위기,0.05,0.006046981949399883,0.5965128123026773,0
hormuz_crisis,호르무즈 위기,0.1,0.0068870829889360165,0.4861872666181597,0
hormuz_crisis,호르무즈 위기,0.5,-0.0014619662310432669,0.8378787004194717,0
soleimani_assassination,솔레이마니 암살,0.05,0.014777702577294412,2.9995551347195004e-06,1
soleimani_assassination,솔레이마니 암살,0.1,0.01299474927197955,8.43517048001452e-05,1
soleimani_assassination,솔레이마니 암살,0.5,0.006435822995672388,0.23750175990561284,0
russia_ukraine_war,러-우 전쟁,0.05,0.03319689773969082,0.0,1
russia_ukraine_war,러-우 전쟁,0.1,0.02190212672383455,0.0,1
russia_ukraine_war,러-우 전쟁,0.5,0.014844733324238581,1.5993539825842618e-09,1
israel_hamas_war,이스라엘-하마스,0.05,0.016673033721442902,0.00026041627252570976,1
israel_hamas_war,이스라엘-하마스,0.1,0.008665064257725435,0.008989649425648949,1
israel_hamas_war,이스라엘-하마스,0.5,0.008659332700036845,7.813642507681351e-05,1
israel_iran,이스라엘-이란 충돌,0.05,0.02370761994900544,5.577171933612846e-06,1
israel_iran,이스라엘-이란 충돌,0.1,0.0180108652838998,3.40325189318591e-05,1
israel_iran,이스라엘-이란 충돌,0.5,0.0165493304031219,2.480441931629329e-06,1
us_israel_iran,이란 전쟁,0.05,0.016355657941593223,0.002183688342837442,1
us_israel_iran,이란 전쟁,0.1,0.01529518852276718,0.0012933730790620768,1
us_israel_iran,이란 전쟁,0.5,0.012507852647551507,9.962772034000089e-05,1
