event,event_label,tau,interaction_beta,pvalue,significant
hormuz_crisis,호르무즈 위기,0.05,-0.02649375596002468,0.060781718968826004,0
hormuz_crisis,호르무즈 위기,0.1,-0.013503112306876841,0.3053546749396998,0
hormuz_crisis,호르무즈 위기,0.5,-0.014089073129839064,0.08812048749503987,0
soleimani_assassination,솔레이마니 암살,0.05,-0.0008382480842192841,0.8845080760212549,0
soleimani_assassination,솔레이마니 암살,0.1,-0.0022485547981472565,0.6329491443618496,0
soleimani_assassination,솔레이마니 암살,0.5,-0.004561370689946789,0.21558408935042706,0
russia_ukraine_war,러-우 전쟁,0.05,0.0003408314218772898,0.9235800121196631,0
russia_ukraine_war,러-우 전쟁,0.1,-0.0020168707627658544,0.32297866691750166,0
russia_ukraine_war,러-우 전쟁,0.5,-0.00010923209231281095,0.941864285581218,0
israel_hamas_war,이스라엘-하마스,0.05,-0.004190592313815911,0.4506860312179073,0
israel_hamas_war,이스라엘-하마스,0.1,-0.007439902815557259,0.03573111862915579,1
israel_hamas_war,이스라엘-하마스,0.5,-0.0032669328217248272,0.1311898617923406,0
israel_iran,이스라엘-이란 충돌,0.05,-0.00021949203982996046,0.9626075838076886,0
israel_iran,이스라엘-이란 충돌,0.1,-0.0014874374902180687,0.7048800923333114,0
israel_iran,이스라엘-이란 충돌,0.5,-0.001673025394907171,0.5309144434124544,0
us_israel_iran,이란 전쟁,0.05,-0.0031993782782614444,0.3813733476230996,0
us_israel_iran,이란 전쟁,0.1,-0.0004833538538402196,0.8724170172147254,0
us_israel_iran,이란 전쟁,0.5,-0.000756140542745462,0.7412636695330677,0
