범위,이벤트,모델,τ,변수,β,SE,p,n,유효n,방법
전체합산,전체,SP500+GPR+IA,0.01,SP500_z,0.02559,0.00325,0.0,1800,18.0,HAC+IA(bw=7)
전체합산,전체,SP500+GPR+IA,0.01,GPR_custom_z,0.00691,0.00553,0.2116,1800,18.0,HAC+IA(bw=7)
전체합산,전체,SP500+GPR+IA,0.01,SP500_x_GPR,0.00419,0.00335,0.2119,1800,18.0,HAC+IA(bw=7)
전체합산,전체,SP500+GPR+IA,0.025,SP500_z,0.02128,0.00226,0.0,1800,45.0,HAC+IA(bw=7)
전체합산,전체,SP500+GPR+IA,0.025,GPR_custom_z,-0.00017,0.00457,0.9702,1800,45.0,HAC+IA(bw=7)
전체합산,전체,SP500+GPR+IA,0.025,SP500_x_GPR,0.00576,0.00284,0.0425,1800,45.0,HAC+IA(bw=7)
전체합산,전체,SP500+GPR+IA,0.05,SP500_z,0.01641,0.00172,0.0,1800,90.0,HAC+IA(bw=7)
전체합산,전체,SP500+GPR+IA,0.05,GPR_custom_z,0.00015,0.00345,0.9643,1800,90.0,HAC+IA(bw=7)
전체합산,전체,SP500+GPR+IA,0.05,SP500_x_GPR,0.00334,0.00201,0.0972,1800,90.0,HAC+IA(bw=7)
전체합산,전체,SP500+GPR+IA,0.1,SP500_z,0.01592,0.00163,0.0,1800,180.0,HAC+IA(bw=7)
전체합산,전체,SP500+GPR+IA,0.1,GPR_custom_z,0.00044,0.00256,0.8621,1800,180.0,HAC+IA(bw=7)
전체합산,전체,SP500+GPR+IA,0.1,SP500_x_GPR,0.00061,0.00164,0.7116,1800,180.0,HAC+IA(bw=7)
전체합산,전체,SP500+GPR+IA,0.2,SP500_z,0.01334,0.00165,0.0,1800,360.0,HAC+IA(bw=7)
전체합산,전체,SP500+GPR+IA,0.2,GPR_custom_z,0.001,0.00161,0.5354,1800,360.0,HAC+IA(bw=7)
전체합산,전체,SP500+GPR+IA,0.2,SP500_x_GPR,-9e-05,0.0014,0.9498,1800,360.0,HAC+IA(bw=7)
전체합산,전체,SP500+GPR+IA,0.25,SP500_z,0.01199,0.00176,0.0,1800,450.0,HAC+IA(bw=7)
전체합산,전체,SP500+GPR+IA,0.25,GPR_custom_z,0.00021,0.00147,0.886,1800,450.0,HAC+IA(bw=7)
전체합산,전체,SP500+GPR+IA,0.25,SP500_x_GPR,0.00088,0.00138,0.5229,1800,450.0,HAC+IA(bw=7)
전체합산,전체,SP500+GPR+IA,0.5,SP500_z,0.011,0.00196,0.0,1800,900.0,HAC+IA(bw=7)
전체합산,전체,SP500+GPR+IA,0.5,GPR_custom_z,0.00073,0.00089,0.4153,1800,900.0,HAC+IA(bw=7)
전체합산,전체,SP500+GPR+IA,0.5,SP500_x_GPR,0.00039,0.00141,0.7802,1800,900.0,HAC+IA(bw=7)
전체합산,전체,SP500+GPR+IA,0.75,SP500_z,0.00986,0.00225,0.0,1800,1350.0,HAC+IA(bw=7)
전체합산,전체,SP500+GPR+IA,0.75,GPR_custom_z,0.00041,0.00119,0.7321,1800,1350.0,HAC+IA(bw=7)
전체합산,전체,SP500+GPR+IA,0.75,SP500_x_GPR,-0.00075,0.00164,0.6476,1800,1350.0,HAC+IA(bw=7)
전체합산,전체,SP500+GPR+IA,0.9,SP500_z,0.00962,0.00265,0.0003,1800,1620.0,HAC+IA(bw=7)
전체합산,전체,SP500+GPR+IA,0.9,GPR_custom_z,0.00245,0.00255,0.3369,1800,1620.0,HAC+IA(bw=7)
전체합산,전체,SP500+GPR+IA,0.9,SP500_x_GPR,0.00113,0.00204,0.5794,1800,1620.0,HAC+IA(bw=7)
전체합산,전체,SP500+GPR+IA,0.95,SP500_z,0.00692,0.00314,0.0276,1800,1710.0,HAC+IA(bw=7)
전체합산,전체,SP500+GPR+IA,0.95,GPR_custom_z,0.00171,0.00356,0.6316,1800,1710.0,HAC+IA(bw=7)
전체합산,전체,SP500+GPR+IA,0.95,SP500_x_GPR,-0.00606,0.00294,0.0392,1800,1710.0,HAC+IA(bw=7)
