범위,이벤트,모델,τ,변수,β,SE,p,n,유효n,BW,방법
전체합산,전체,SP500+GPR,0.01,SP500_z,0.02682,0.00384,0.0,1800,18.0,7,HAC(bw=7)
전체합산,전체,SP500+GPR,0.01,GPR_custom_z,0.01,0.00577,0.0834,1800,18.0,7,HAC(bw=7)
전체합산,전체,SP500+GPR,0.025,SP500_z,0.02136,0.00251,0.0,1800,45.0,7,HAC(bw=7)
전체합산,전체,SP500+GPR,0.025,GPR_custom_z,0.00243,0.00441,0.5814,1800,45.0,7,HAC(bw=7)
전체합산,전체,SP500+GPR,0.05,SP500_z,0.01766,0.00186,0.0,1800,90.0,7,HAC(bw=7)
전체합산,전체,SP500+GPR,0.05,GPR_custom_z,0.00235,0.00319,0.4609,1800,90.0,7,HAC(bw=7)
전체합산,전체,SP500+GPR,0.1,SP500_z,0.01575,0.00166,0.0,1800,180.0,7,HAC(bw=7)
전체합산,전체,SP500+GPR,0.1,GPR_custom_z,0.00083,0.00251,0.7421,1800,180.0,7,HAC(bw=7)
전체합산,전체,SP500+GPR,0.2,SP500_z,0.01339,0.00166,0.0,1800,360.0,7,HAC(bw=7)
전체합산,전체,SP500+GPR,0.2,GPR_custom_z,0.001,0.00161,0.5357,1800,360.0,7,HAC(bw=7)
전체합산,전체,SP500+GPR,0.25,SP500_z,0.01219,0.00175,0.0,1800,450.0,7,HAC(bw=7)
전체합산,전체,SP500+GPR,0.25,GPR_custom_z,0.00041,0.00145,0.776,1800,450.0,7,HAC(bw=7)
전체합산,전체,SP500+GPR,0.5,SP500_z,0.01099,0.00197,0.0,1800,900.0,7,HAC(bw=7)
전체합산,전체,SP500+GPR,0.5,GPR_custom_z,0.00069,0.00089,0.4376,1800,900.0,7,HAC(bw=7)
전체합산,전체,SP500+GPR,0.75,SP500_z,0.00981,0.00229,0.0,1800,1350.0,7,HAC(bw=7)
전체합산,전체,SP500+GPR,0.75,GPR_custom_z,0.00039,0.00119,0.7418,1800,1350.0,7,HAC(bw=7)
전체합산,전체,SP500+GPR,0.9,SP500_z,0.0091,0.0027,0.0007,1800,1620.0,7,HAC(bw=7)
전체합산,전체,SP500+GPR,0.9,GPR_custom_z,0.00214,0.0025,0.392,1800,1620.0,7,HAC(bw=7)
전체합산,전체,SP500+GPR,0.95,SP500_z,0.00976,0.0029,0.0008,1800,1710.0,7,HAC(bw=7)
전체합산,전체,SP500+GPR,0.95,GPR_custom_z,-0.0001,0.00335,0.9764,1800,1710.0,7,HAC(bw=7)
전체합산,전체,Gold+GPR,0.01,Gold_z,0.01769,0.00366,0.0,1800,18.0,7,HAC(bw=7)
전체합산,전체,Gold+GPR,0.01,GPR_custom_z,0.00743,0.00708,0.2941,1800,18.0,7,HAC(bw=7)
전체합산,전체,Gold+GPR,0.025,Gold_z,0.00736,0.00217,0.0007,1800,45.0,7,HAC(bw=7)
전체합산,전체,Gold+GPR,0.025,GPR_custom_z,-0.00256,0.00516,0.6194,1800,45.0,7,HAC(bw=7)
전체합산,전체,Gold+GPR,0.05,Gold_z,0.00614,0.00172,0.0004,1800,90.0,7,HAC(bw=7)
전체합산,전체,Gold+GPR,0.05,GPR_custom_z,-0.00026,0.00365,0.9442,1800,90.0,7,HAC(bw=7)
전체합산,전체,Gold+GPR,0.1,Gold_z,0.00426,0.00141,0.0025,1800,180.0,7,HAC(bw=7)
전체합산,전체,Gold+GPR,0.1,GPR_custom_z,0.00035,0.0026,0.8931,1800,180.0,7,HAC(bw=7)
전체합산,전체,Gold+GPR,0.2,Gold_z,0.00362,0.00122,0.0029,1800,360.0,7,HAC(bw=7)
전체합산,전체,Gold+GPR,0.2,GPR_custom_z,0.00142,0.00165,0.3882,1800,360.0,7,HAC(bw=7)
전체합산,전체,Gold+GPR,0.25,Gold_z,0.00257,0.00117,0.0286,1800,450.0,7,HAC(bw=7)
전체합산,전체,Gold+GPR,0.25,GPR_custom_z,0.00062,0.00146,0.6689,1800,450.0,7,HAC(bw=7)
전체합산,전체,Gold+GPR,0.5,Gold_z,0.00377,0.00112,0.0007,1800,900.0,7,HAC(bw=7)
전체합산,전체,Gold+GPR,0.5,GPR_custom_z,0.00075,0.0009,0.4041,1800,900.0,7,HAC(bw=7)
전체합산,전체,Gold+GPR,0.75,Gold_z,0.00356,0.00119,0.0027,1800,1350.0,7,HAC(bw=7)
전체합산,전체,Gold+GPR,0.75,GPR_custom_z,0.00113,0.00126,0.3709,1800,1350.0,7,HAC(bw=7)
전체합산,전체,Gold+GPR,0.9,Gold_z,0.00147,0.0015,0.3298,1800,1620.0,7,HAC(bw=7)
전체합산,전체,Gold+GPR,0.9,GPR_custom_z,0.00137,0.00253,0.5869,1800,1620.0,7,HAC(bw=7)
전체합산,전체,Gold+GPR,0.95,Gold_z,0.00452,0.0018,0.0122,1800,1710.0,7,HAC(bw=7)
전체합산,전체,Gold+GPR,0.95,GPR_custom_z,-0.00154,0.0035,0.6599,1800,1710.0,7,HAC(bw=7)
이벤트별,호르무즈 위기,SP500+GPR,0.01,SP500_z,-0.00296,0.01641,0.857,183,1.8,4,HAC(bw=4)
이벤트별,호르무즈 위기,SP500+GPR,0.01,GPR_custom_z,-0.04598,0.0312,0.1423,183,1.8,4,HAC(bw=4)
이벤트별,호르무즈 위기,SP500+GPR,0.025,SP500_z,0.00517,0.01263,0.6831,183,4.6,4,HAC(bw=4)
이벤트별,호르무즈 위기,SP500+GPR,0.025,GPR_custom_z,-0.01308,0.01674,0.4358,183,4.6,4,HAC(bw=4)
이벤트별,호르무즈 위기,SP500+GPR,0.05,SP500_z,0.00605,0.0114,0.5965,183,9.2,4,HAC(bw=4)
이벤트별,호르무즈 위기,SP500+GPR,0.05,GPR_custom_z,-0.00345,0.01246,0.7819,183,9.2,4,HAC(bw=4)
이벤트별,호르무즈 위기,SP500+GPR,0.1,SP500_z,0.00689,0.00987,0.4862,183,18.3,4,HAC(bw=4)
이벤트별,호르무즈 위기,SP500+GPR,0.1,GPR_custom_z,-0.00606,0.00964,0.5303,183,18.3,4,HAC(bw=4)
이벤트별,호르무즈 위기,SP500+GPR,0.2,SP500_z,0.00111,0.00823,0.8924,183,36.6,4,HAC(bw=4)
이벤트별,호르무즈 위기,SP500+GPR,0.2,GPR_custom_z,-0.00579,0.00703,0.4111,183,36.6,4,HAC(bw=4)
이벤트별,호르무즈 위기,SP500+GPR,0.25,SP500_z,0.00386,0.00805,0.6325,183,45.8,4,HAC(bw=4)
이벤트별,호르무즈 위기,SP500+GPR,0.25,GPR_custom_z,-0.00019,0.00526,0.9711,183,45.8,4,HAC(bw=4)
이벤트별,호르무즈 위기,SP500+GPR,0.5,SP500_z,-0.00146,0.00713,0.8379,183,91.5,4,HAC(bw=4)
이벤트별,호르무즈 위기,SP500+GPR,0.5,GPR_custom_z,0.00313,0.00397,0.4308,183,91.5,4,HAC(bw=4)
이벤트별,호르무즈 위기,SP500+GPR,0.75,SP500_z,-0.0055,0.00663,0.4083,183,137.2,4,HAC(bw=4)
이벤트별,호르무즈 위기,SP500+GPR,0.75,GPR_custom_z,0.01578,0.00658,0.0174,183,137.2,4,HAC(bw=4)
이벤트별,호르무즈 위기,SP500+GPR,0.9,SP500_z,-0.02398,0.00893,0.0079,183,164.7,4,HAC(bw=4)
이벤트별,호르무즈 위기,SP500+GPR,0.9,GPR_custom_z,0.01966,0.01088,0.0726,183,164.7,4,HAC(bw=4)
이벤트별,호르무즈 위기,SP500+GPR,0.95,SP500_z,-0.02767,0.01134,0.0157,183,173.8,4,HAC(bw=4)
이벤트별,호르무즈 위기,SP500+GPR,0.95,GPR_custom_z,0.01024,0.01328,0.442,183,173.8,4,HAC(bw=4)
이벤트별,호르무즈 위기,Gold+GPR,0.01,Gold_z,0.01485,0.01586,0.3502,183,1.8,4,HAC(bw=4)
이벤트별,호르무즈 위기,Gold+GPR,0.01,GPR_custom_z,-0.03736,0.02797,0.1833,183,1.8,4,HAC(bw=4)
이벤트별,호르무즈 위기,Gold+GPR,0.025,Gold_z,0.04153,0.01081,0.0002,183,4.6,4,HAC(bw=4)
이벤트별,호르무즈 위기,Gold+GPR,0.025,GPR_custom_z,-0.01516,0.01725,0.3808,183,4.6,4,HAC(bw=4)
이벤트별,호르무즈 위기,Gold+GPR,0.05,Gold_z,0.02357,0.00792,0.0033,183,9.2,4,HAC(bw=4)
이벤트별,호르무즈 위기,Gold+GPR,0.05,GPR_custom_z,-0.00618,0.01155,0.5934,183,9.2,4,HAC(bw=4)
이벤트별,호르무즈 위기,Gold+GPR,0.1,Gold_z,0.02788,0.00672,0.0001,183,18.3,4,HAC(bw=4)
이벤트별,호르무즈 위기,Gold+GPR,0.1,GPR_custom_z,-0.0086,0.00987,0.3846,183,18.3,4,HAC(bw=4)
이벤트별,호르무즈 위기,Gold+GPR,0.2,Gold_z,0.01309,0.00627,0.0382,183,36.6,4,HAC(bw=4)
이벤트별,호르무즈 위기,Gold+GPR,0.2,GPR_custom_z,-0.00626,0.00688,0.3642,183,36.6,4,HAC(bw=4)
이벤트별,호르무즈 위기,Gold+GPR,0.25,Gold_z,0.0135,0.00613,0.029,183,45.8,4,HAC(bw=4)
이벤트별,호르무즈 위기,Gold+GPR,0.25,GPR_custom_z,-0.00153,0.00517,0.7685,183,45.8,4,HAC(bw=4)
이벤트별,호르무즈 위기,Gold+GPR,0.5,Gold_z,0.00834,0.0067,0.2153,183,91.5,4,HAC(bw=4)
이벤트별,호르무즈 위기,Gold+GPR,0.5,GPR_custom_z,0.00075,0.00396,0.8491,183,91.5,4,HAC(bw=4)
이벤트별,호르무즈 위기,Gold+GPR,0.75,Gold_z,0.01113,0.00777,0.1538,183,137.2,4,HAC(bw=4)
이벤트별,호르무즈 위기,Gold+GPR,0.75,GPR_custom_z,0.01415,0.00633,0.0265,183,137.2,4,HAC(bw=4)
이벤트별,호르무즈 위기,Gold+GPR,0.9,Gold_z,0.03304,0.01161,0.0049,183,164.7,4,HAC(bw=4)
이벤트별,호르무즈 위기,Gold+GPR,0.9,GPR_custom_z,0.01879,0.01197,0.1183,183,164.7,4,HAC(bw=4)
이벤트별,호르무즈 위기,Gold+GPR,0.95,Gold_z,0.03026,0.01448,0.0381,183,173.8,4,HAC(bw=4)
이벤트별,호르무즈 위기,Gold+GPR,0.95,GPR_custom_z,0.03413,0.0185,0.0667,183,173.8,4,HAC(bw=4)
이벤트별,솔레이마니 암살,SP500+GPR,0.01,SP500_z,0.03225,0.00893,0.0004,309,3.1,5,HAC(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR,0.01,GPR_custom_z,0.02177,0.00991,0.0287,309,3.1,5,HAC(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR,0.025,SP500_z,0.01821,0.00356,0.0,309,7.7,5,HAC(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR,0.025,GPR_custom_z,0.01076,0.00669,0.1085,309,7.7,5,HAC(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR,0.05,SP500_z,0.01478,0.0031,0.0,309,15.5,5,HAC(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR,0.05,GPR_custom_z,0.00558,0.00608,0.3593,309,15.5,5,HAC(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR,0.1,SP500_z,0.01299,0.00326,0.0001,309,30.9,5,HAC(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR,0.1,GPR_custom_z,0.00505,0.00495,0.3079,309,30.9,5,HAC(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR,0.2,SP500_z,0.0079,0.00466,0.091,309,61.8,5,HAC(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR,0.2,GPR_custom_z,0.00103,0.00405,0.7999,309,61.8,5,HAC(bw=5)
