scope,event,tau,n,alpha,beta_sp500,p_beta,gamma_gpr,p_gamma
전체,all,0.01,1800,-0.108947,0.026823,0.0,0.010002,0.0834
전체,all,0.025,1800,-0.073663,0.021359,0.0,0.002433,0.5814
전체,all,0.05,1800,-0.05184,0.017658,0.0,0.002352,0.4609
전체,all,0.1,1800,-0.036879,0.015754,0.0,0.000825,0.7421
전체,all,0.2,1800,-0.020044,0.01339,0.0,0.000999,0.5357
전체,all,0.25,1800,-0.015458,0.012192,0.0,0.000412,0.776
전체,all,0.5,1800,0.000279,0.010989,0.0,0.000694,0.4376
전체,all,0.75,1800,0.018544,0.009814,0.0,0.000392,0.7418
전체,all,0.9,1800,0.042473,0.009104,0.0007,0.002145,0.392
전체,all,0.95,1800,0.061333,0.009758,0.0008,-9.9e-05,0.9764
이벤트별,hormuz_crisis,0.05,183,-0.063239,0.006047,0.5965,-0.003453,0.7819
이벤트별,hormuz_crisis,0.1,183,-0.037932,0.006887,0.4862,-0.006062,0.5303
이벤트별,hormuz_crisis,0.5,183,0.003971,-0.001462,0.8379,0.003132,0.4308
이벤트별,soleimani_assassination,0.05,309,-0.053798,0.014778,0.0,0.005581,0.3593
이벤트별,soleimani_assassination,0.1,309,-0.04138,0.012995,0.0001,0.005053,0.3079
이벤트별,soleimani_assassination,0.5,309,0.002737,0.006436,0.2375,0.000345,0.8863
이벤트별,russia_ukraine_war,0.05,475,-0.070295,0.033197,0.0,0.003664,0.6054
이벤트별,russia_ukraine_war,0.1,475,-0.045273,0.021902,0.0,0.00356,0.4362
이벤트별,russia_ukraine_war,0.5,475,-0.001389,0.014845,0.0,-0.000353,0.8197
이벤트별,israel_hamas_war,0.05,262,-0.038686,0.016673,0.0003,-0.002459,0.717
이벤트별,israel_hamas_war,0.1,262,-0.026873,0.008665,0.009,0.001308,0.7768
이벤트별,israel_hamas_war,0.5,262,0.001097,0.008659,0.0001,0.000943,0.6397
이벤트별,israel_iran,0.05,299,-0.047339,0.023708,0.0,-0.002308,0.7
이벤트별,israel_iran,0.1,299,-0.034727,0.018011,0.0,-0.001859,0.6858
이벤트별,israel_iran,0.5,299,-0.000403,0.016549,0.0,-0.000352,0.8626
이벤트별,us_israel_iran,0.05,272,-0.035162,0.016356,0.0022,0.00662,0.056
이벤트별,us_israel_iran,0.1,272,-0.027702,0.015295,0.0013,0.005209,0.0705
이벤트별,us_israel_iran,0.5,272,-0.001021,0.012508,0.0001,0.001949,0.0884
