scope,event,tau,n,alpha,beta_sp500,p_beta,gamma_gpr,p_gamma,interaction_beta,interaction_pvalue
전체,all,0.01,1800,-0.100281,0.02559,0.0,0.006912,0.2116,0.004186,0.2119
전체,all,0.025,1800,-0.071982,0.021276,0.0,-0.000171,0.9702,0.005756,0.0425
전체,all,0.05,1800,-0.052737,0.016408,0.0,0.000154,0.9643,0.00334,0.0972
전체,all,0.1,1800,-0.037247,0.015924,0.0,0.000445,0.8621,0.000605,0.7116
전체,all,0.2,1800,-0.02005,0.013343,0.0,0.000999,0.5354,-8.9e-05,0.9498
전체,all,0.25,1800,-0.015627,0.011989,0.0,0.000211,0.886,0.000883,0.5229
전체,all,0.5,1800,0.000178,0.010998,0.0,0.000727,0.4153,0.000393,0.7802
전체,all,0.75,1800,0.018639,0.009862,0.0,0.000407,0.7321,-0.000748,0.6476
전체,all,0.9,1800,0.042709,0.009617,0.0003,0.002446,0.3369,0.001132,0.5794
전체,all,0.95,1800,0.062376,0.006919,0.0276,0.001709,0.6316,-0.006065,0.0392
이벤트별,hormuz_crisis,0.05,183,-0.065882,-0.009212,0.3496,-0.020578,0.2156,-0.026494,0.0608
이벤트별,hormuz_crisis,0.1,183,-0.036648,0.001405,0.8756,-0.006914,0.4644,-0.013503,0.3054
이벤트별,hormuz_crisis,0.5,183,0.005671,-0.008513,0.1408,0.006436,0.1117,-0.014089,0.0881
이벤트별,soleimani_assassination,0.05,309,-0.054144,0.014396,0.0,0.006132,0.3028,-0.000838,0.8845
이벤트별,soleimani_assassination,0.1,309,-0.038485,0.011344,0.0024,0.005395,0.2296,-0.002249,0.6329
이벤트별,soleimani_assassination,0.5,309,0.003054,0.005313,0.3467,0.001335,0.459,-0.004561,0.2156
이벤트별,russia_ukraine_war,0.05,475,-0.069514,0.032094,0.0,0.003404,0.6348,0.000341,0.9236
이벤트별,russia_ukraine_war,0.1,475,-0.046838,0.024631,0.0,0.003377,0.4868,-0.002017,0.323
이벤트별,russia_ukraine_war,0.5,475,-0.00154,0.014956,0.0,-0.000174,0.9127,-0.000109,0.9419
이벤트별,israel_hamas_war,0.05,262,-0.038848,0.015651,0.0012,-0.002007,0.7619,-0.004191,0.4507
이벤트별,israel_hamas_war,0.1,262,-0.026572,0.008191,0.0152,0.001884,0.6605,-0.00744,0.0357
이벤트별,israel_hamas_war,0.5,262,0.001715,0.008331,0.0001,0.000667,0.7144,-0.003267,0.1312
이벤트별,israel_iran,0.05,299,-0.047371,0.023823,0.0,-0.002159,0.7185,-0.000219,0.9626
이벤트별,israel_iran,0.1,299,-0.035077,0.017804,0.0,-0.003302,0.4874,-0.001487,0.7049
이벤트별,israel_iran,0.5,299,-0.000282,0.017291,0.0,-0.000852,0.6745,-0.001673,0.5309
이벤트별,us_israel_iran,0.05,272,-0.037188,0.014738,0.0024,0.005115,0.1996,-0.003199,0.3814
이벤트별,us_israel_iran,0.1,272,-0.027709,0.01508,0.0003,0.005172,0.0725,-0.000483,0.8724
이벤트별,us_israel_iran,0.5,272,-0.000797,0.012613,0.0,0.002155,0.0542,-0.000756,0.7413
