자산,τ,β_기존,p_기존,β_GPR제거,p_GPR제거,차이,방향일치,판정
SP500,0.01,0.02682,0.0,0.02563,0.0,-0.0012,✅ 일치,β 안정적 (±20% 이내)
SP500,0.025,0.02136,0.0,0.02099,0.0,-0.00037,✅ 일치,β 안정적 (±20% 이내)
SP500,0.05,0.01766,0.0,0.01765,0.0,-0.0,✅ 일치,β 안정적 (±20% 이내)
SP500,0.1,0.01575,0.0,0.01594,0.0,0.00019,✅ 일치,β 안정적 (±20% 이내)
SP500,0.2,0.01339,0.0,0.01337,0.0,-2e-05,✅ 일치,β 안정적 (±20% 이내)
SP500,0.25,0.01219,0.0,0.01209,0.0,-0.0001,✅ 일치,β 안정적 (±20% 이내)
SP500,0.5,0.01099,0.0,0.01094,0.0,-5e-05,✅ 일치,β 안정적 (±20% 이내)
SP500,0.75,0.00981,0.0,0.01003,0.0,0.00022,✅ 일치,β 안정적 (±20% 이내)
SP500,0.9,0.0091,0.0007,0.00911,0.0008,0.0,✅ 일치,β 안정적 (±20% 이내)
SP500,0.95,0.00976,0.0008,0.00951,0.0012,-0.00025,✅ 일치,β 안정적 (±20% 이내)
Gold,0.01,0.01769,0.0,0.01243,0.0,-0.00526,✅ 일치,β 20% 이상 감소
Gold,0.025,0.00736,0.0007,0.00709,0.0008,-0.00027,✅ 일치,β 안정적 (±20% 이내)
Gold,0.05,0.00614,0.0004,0.00621,0.0003,6e-05,✅ 일치,β 안정적 (±20% 이내)
Gold,0.1,0.00426,0.0025,0.00405,0.0039,-0.00021,✅ 일치,β 안정적 (±20% 이내)
Gold,0.2,0.00362,0.0029,0.00358,0.0033,-4e-05,✅ 일치,β 안정적 (±20% 이내)
Gold,0.25,0.00257,0.0286,0.0026,0.0271,2e-05,✅ 일치,β 안정적 (±20% 이내)
Gold,0.5,0.00377,0.0007,0.00382,0.0006,5e-05,✅ 일치,β 안정적 (±20% 이내)
Gold,0.75,0.00356,0.0027,0.00391,0.001,0.00034,✅ 일치,β 안정적 (±20% 이내)
Gold,0.9,0.00147,0.3298,0.00131,0.3842,-0.00016,✅ 일치,β 안정적 (±20% 이내)
Gold,0.95,0.00452,0.0122,0.00514,0.0043,0.00062,✅ 일치,β 안정적 (±20% 이내)
