자산,제외이벤트,n_loo,β_τ0.05,p_τ0.05,v_τ0.05,Δβ_0.05,β_τ0.10,p_τ0.10,v_τ0.10,Δβ_0.10,결론변화
SP500,호르무즈 위기,1617,0.01814,0.0,Risky Asset,0.00048,0.0161,0.0,Risky Asset,0.00035,✅ 동일
SP500,솔레이마니 암살,1491,0.01974,0.0,Risky Asset,0.00209,0.0171,0.0,Risky Asset,0.00134,✅ 동일
SP500,러-우 전쟁,1325,0.01381,0.0,Risky Asset,-0.00385,0.0118,0.0,Risky Asset,-0.00396,✅ 동일
SP500,이스라엘-하마스,1538,0.01783,0.0,Risky Asset,0.00018,0.01601,0.0,Risky Asset,0.00026,✅ 동일
SP500,이스라엘-이란 충돌,1501,0.0155,0.0,Risky Asset,-0.00216,0.01553,0.0,Risky Asset,-0.00022,✅ 동일
SP500,이란 전쟁,1528,0.01733,0.0,Risky Asset,-0.00033,0.01603,0.0,Risky Asset,0.00027,✅ 동일
Gold,호르무즈 위기,1617,0.00324,0.0526,비유의,-0.00291,0.00306,0.0289,Risky Asset,-0.0012,⚠️ 판정 변화
Gold,솔레이마니 암살,1491,0.00319,0.0956,비유의,-0.00295,0.00072,0.6344,비유의,-0.00354,⚠️ 판정 변화
Gold,러-우 전쟁,1325,0.00348,0.0391,Risky Asset,-0.00266,0.00493,0.0009,Risky Asset,0.00067,✅ 동일
Gold,이스라엘-하마스,1538,0.0042,0.0176,Risky Asset,-0.00195,0.00414,0.0046,Risky Asset,-0.00012,✅ 동일
Gold,이스라엘-이란 충돌,1501,0.00538,0.0023,Risky Asset,-0.00077,0.0037,0.0105,Risky Asset,-0.00055,✅ 동일
Gold,이란 전쟁,1528,0.01028,0.0,Risky Asset,0.00413,0.0063,0.0012,Risky Asset,0.00205,✅ 동일
