event,event_label,event_date,asset,event_window,event_window_note,model,CAR,t_stat,p_norm,p_wild_bootstrap,sig_norm,sig_wild,n_est,n_evt,est_window_short,car_boot_mean,car_boot_std,n_boot,bootstrap_method,citation
hormuz_crisis,호르무즈 위기,2019-06-13,BTC,3,본분석 실제,CMRM,0.0864425621945528,1.1084469437468671,0.26766884068513663,0.0,False,True,86,7,True,0.08608008415894447,0.021720865655254905,5000,Wild (Rademacher),"Davidson & MacKinnon (1999, ET 15:361-376)"
hormuz_crisis,호르무즈 위기,2019-06-13,Gold,3,본분석 실제,MarketModel,0.003976497335559465,0.25176649007846047,0.8012215601642436,0.393,False,False,86,7,True,0.0040455208545098304,0.004492917106065352,5000,Wild (Rademacher),"Davidson & MacKinnon (1999, ET 15:361-376)"
hormuz_crisis,호르무즈 위기,2019-06-13,TLT,3,본분석 실제,MarketModel,0.0038972645778118428,0.29027836784953465,0.7716032866836189,0.3266,False,False,86,7,True,0.003968789067028525,0.0038948454252446534,5000,Wild (Rademacher),"Davidson & MacKinnon (1999, ET 15:361-376)"
hormuz_crisis,호르무즈 위기,2019-06-13,DXY,3,본분석 실제,MarketModel,0.009520464337055728,1.135570818537952,0.25613622754460486,0.0,False,True,86,7,True,0.00949023330568309,0.0024103018338634047,5000,Wild (Rademacher),"Davidson & MacKinnon (1999, ET 15:361-376)"
hormuz_crisis,호르무즈 위기,2019-06-13,NASDAQ,3,본분석 실제,MarketModel,0.007330401035154132,1.060217492248926,0.28904566496943795,0.0,False,True,86,7,True,0.007271638533592506,0.0019649433774365623,5000,Wild (Rademacher),"Davidson & MacKinnon (1999, ET 15:361-376)"
hormuz_crisis,호르무즈 위기,2019-06-13,BTC,17,catalog 표준,CMRM,0.36322015687116443,2.0829182188617805,0.03725867864154031,0.0002,True,True,86,35,True,0.3617901769688876,0.11059976796156896,5000,Wild (Rademacher),"Davidson & MacKinnon (1999, ET 15:361-376)"
hormuz_crisis,호르무즈 위기,2019-06-13,Gold,17,catalog 표준,MarketModel,0.08951192559052251,2.534504853528686,0.011260636711911909,0.0,True,True,86,35,True,0.08962471261784515,0.022534226955570908,5000,Wild (Rademacher),"Davidson & MacKinnon (1999, ET 15:361-376)"
hormuz_crisis,호르무즈 위기,2019-06-13,TLT,17,catalog 표준,MarketModel,0.034392373733795736,1.145597168732594,0.25196186930488595,0.071,False,False,86,35,True,0.0341305735695762,0.019139461694470776,5000,Wild (Rademacher),"Davidson & MacKinnon (1999, ET 15:361-376)"
hormuz_crisis,호르무즈 위기,2019-06-13,DXY,17,catalog 표준,MarketModel,-0.011332835144568098,-0.6045185920925379,0.5454989121318645,0.321,False,False,86,35,True,-0.011024165173974868,0.01160619608925977,5000,Wild (Rademacher),"Davidson & MacKinnon (1999, ET 15:361-376)"
hormuz_crisis,호르무즈 위기,2019-06-13,NASDAQ,17,catalog 표준,MarketModel,-0.013460507069049565,-0.8706500888062901,0.3839452383869535,0.1644,False,False,86,35,True,-0.013460594059254009,0.00966423435199092,5000,Wild (Rademacher),"Davidson & MacKinnon (1999, ET 15:361-376)"
